Name,Description,Latitude,Longitude,Profile_image_link,Work_image_link_1,Work_image_link_2
Subhashchandra Gowda,Professional Artist,,,https://ik.imagekit.io/mahakuta/Pro_Pic_yASeFMG2EQ.jpg,https://ik.imagekit.io/mahakuta/IMG_20191218_105625_copy_jENeETJ90.jpg,https://ik.imagekit.io/mahakuta/Kamal_mahal_verOHdX8l.jpg
Bhushan Mhapankar,Professional Artist,,,https://ik.imagekit.io/mahakuta/New_Doc_2020-01-02_09.58.53_1_lFlSzkjBr.jpg,https://ik.imagekit.io/mahakuta/IMG_20191230_195017_-uExNrY4e.jpg,https://ik.imagekit.io/mahakuta/lh_wsFStGFQF.jpg
Sudeesh Kiran,Professional Artist,,,https://ik.imagekit.io/mahakuta/IMG_20200102_093206_VBVN5ufSH.jpg,https://ik.imagekit.io/mahakuta/FB_IMG_1577897379795_YHAJo9-GA.jpg,https://ik.imagekit.io/mahakuta/FB_IMG_1577897389134_T8L9bR2r1.jpg
Geeta Shankar,Professional Artist,,,https://ik.imagekit.io/mahakuta/IMG_3914_IsX3sTwvg.jpg,https://ik.imagekit.io/mahakuta/Snapseed_pLuhHLIPx.jpg,https://ik.imagekit.io/mahakuta/FullSizeRender_wZ1JoQBG7.jpg
Yuvraj Patil,Professional Artist,,,https://ik.imagekit.io/mahakuta/20200102_074028_3QrN5gcFw.jpg,https://ik.imagekit.io/mahakuta/20190916_143259_eVXB5sGQd.jpg,
Venkatesh Ellore,Professional Artist,,,https://ik.imagekit.io/mahakuta/FB-IMG-1481897534881_fskXsBFzr.JPG,https://ik.imagekit.io/mahakuta/20190916_143259__1__LHuD2jXcL.jpg,
Sudeeshkiran Kiran,Professional Artist,,,https://ik.imagekit.io/mahakuta/ckp_vaG8w8fgq.jpeg,https://ik.imagekit.io/mahakuta/FB_IMG_1577897379795_nYTPMnLyM.jpg,https://ik.imagekit.io/mahakuta/FB_IMG_1577897385337_kbKjoGDfmF.jpg
Mahamadali Mujawar,Professional Artist,,,https://ik.imagekit.io/mahakuta/FB_IMG_1577888126422_F1vL1nZn3.jpg,https://ik.imagekit.io/mahakuta/20200101_194147_icUEl-knG.jpg,https://ik.imagekit.io/mahakuta/20200101_194221__1__4JoXcqjEz.jpg
Vivek Kulkarni,Professional Artist,,,https://ik.imagekit.io/mahakuta/Screenshot_20200101-182847_1_ais_usyW_.png,https://ik.imagekit.io/mahakuta/IMG_20200101_181234_1_v17UHglOh.jpg,https://ik.imagekit.io/mahakuta/IMG_20200101_181142_1_36IXI7ARO.jpg
Raj Kamal,Professional Artist,,,https://ik.imagekit.io/mahakuta/Family__37__ls_iizHGA.jpg,https://ik.imagekit.io/mahakuta/0_a8cWPHXLe.jpg,https://ik.imagekit.io/mahakuta/rajkamal_painting_EDXZGmNF9.jpg
Bhushan Mhapankar,Professional Artist,,,https://ik.imagekit.io/mahakuta/ckp_vaG8w8fgq.jpeg,https://ik.imagekit.io/mahakuta/rty_cI8cYeo9p.jpg,https://ik.imagekit.io/mahakuta/lh_IHAUVu0as.jpg
Santosh Budyale,Professional Artist,,,https://ik.imagekit.io/mahakuta/IMG20180106135552_2-1-2_QYzMpSjjx.jpg,https://ik.imagekit.io/mahakuta/IMG_20180501_173324_Ck85KQN3u.jpg,https://ik.imagekit.io/mahakuta/IMG_20180223_164447-1_M1rGirrIv.jpg
Akshay Jadhav,Professional Artist,,,https://ik.imagekit.io/mahakuta/IMG_20200101_172401_r2_3jcg3a.jpg,https://ik.imagekit.io/mahakuta/IMG_20191203_094923_383_VoXj3JK6r.jpg,https://ik.imagekit.io/mahakuta/IMG_20191002_224600_KXL4Qd_xy.jpg
Subhash Chandra,Professional Artist,,,https://ik.imagekit.io/mahakuta/ckp_vaG8w8fgq.jpeg,https://ik.imagekit.io/mahakuta/P_20161112_142950_kH5ftLnvW.jpg,https://ik.imagekit.io/mahakuta/Temple_gZgTo7F4R.jpg
Soundharya Chithravel,Professional Artist,,,https://ik.imagekit.io/mahakuta/photo_01_kQvW-ziv9.jpg,https://ik.imagekit.io/mahakuta/mahabalipuram_temple_COnmfbhZt.jpg,https://ik.imagekit.io/mahakuta/sri_rangam_Mgq6eMnFl.jpg